country,genre,averageRating,numVotes
Algeria,Independent Movies,6.6,449.0
Algeria,International Movies,6.949999999999999,1520.0
Algeria,Comedies,0,0
Algeria,Thrillers,0,0
Algeria,Romantic Movies,0,0
Algeria,Horror Movies,0,0
Algeria,Sci-Fi & Fantasy,0,0
Algeria,Action & Adventure,0,0
Algeria,Classic Movies,0,0
Algeria,Anime Features,0,0
Algeria,Sports Movies,0,0
Algeria,Music & Musicals,0,0
Algeria,Cult Movies,0,0
Algeria,Faith & Spirituality,0,0
Algeria,LGBTQ Movies,0,0
Algeria,Stand-Up Comedy,0,0
Algeria,Movies,6.949999999999999,1520.0
Poland,Documentaries,7.9,4182.0
Poland,Children & Family Movies,0,0
Poland,Dramas,6.072222222222223,54378.444444444445
Poland,Independent Movies,7.033333333333334,269824.3333333333
Poland,International Movies,6.08,50082.65
Poland,Comedies,6.08,2950.2
Poland,Thrillers,6.216666666666666,13464.333333333334
Poland,Romantic Movies,4.766666666666667,29053.333333333332
Poland,Horror Movies,6.0,19700.0
Poland,Sci-Fi & Fantasy,6.4,18625.0
Poland,Action & Adventure,4.933333333333333,2388.0
Poland,Classic Movies,7.0,509.0
Poland,Anime Features,0,0
Poland,Sports Movies,0,0
Poland,Music & Musicals,0,0
Poland,Cult Movies,7.5,3395.0
Poland,Faith & Spirituality,0,0
Poland,LGBTQ Movies,0,0
Poland,Stand-Up Comedy,0,0
Poland,Movies,6.1,45661.681818181816
Israel,Documentaries,7.2,2877.6666666666665
Israel,Children & Family Movies,0,0
Israel,Dramas,6.388888888888889,8107.777777777777
Israel,Independent Movies,6.975,7903.75
Israel,International Movies,6.938461538461539,6033.538461538462
Israel,Comedies,6.9,1806.5
Israel,Thrillers,5.733333333333334,37653.0
Israel,Romantic Movies,0,0
Israel,Horror Movies,6.050000000000001,50128.5
Israel,Sci-Fi & Fantasy,6.4,18625.0
Israel,Action & Adventure,5.6,5242.0
Israel,Classic Movies,0,0
Israel,Anime Features,0,0
Israel,Sports Movies,7.4,814.0
Israel,Music & Musicals,0,0
Israel,Cult Movies,0,0
Israel,Faith & Spirituality,6.5,773.0
Israel,LGBTQ Movies,0,0
Israel,Stand-Up Comedy,0,0
Israel,Movies,6.786666666666667,12457.2
Saudi Arabia,Documentaries,0,0
Saudi Arabia,Children & Family Movies,0,0
Saudi Arabia,Dramas,5.775,5729.0
Saudi Arabia,Independent Movies,7.5,20295.0
